,0
293,STEAM_0:0:580719749
294,STEAM_0:0:506821099
295,STEAM_0:1:241711173
296,STEAM_0:0:641572867
297,STEAM_0:1:225799299
298,STEAM_0:0:417994464
299,STEAM_0:1:94211388
300,STEAM_0:1:601011635
301,STEAM_0:1:221905617
302,STEAM_0:1:574011668
303,STEAM_0:1:613810622
304,STEAM_0:0:440802908
305,STEAM_0:0:182383428
306,STEAM_0:0:436567692
307,STEAM_0:0:46625363
308,STEAM_0:0:192238276
309,STEAM_0:0:583332379
310,STEAM_0:1:520607663
311,STEAM_0:0:77747753
312,STEAM_0:0:197891218
313,STEAM_0:1:42893459
314,STEAM_0:0:204386100
315,STEAM_0:1:562847333
316,STEAM_0:1:110907957
317,STEAM_0:1:637558460
318,STEAM_0:1:105125153
319,STEAM_0:0:528360503
320,STEAM_0:1:220392109
321,STEAM_0:0:615900993
322,STEAM_0:0:709877494
323,STEAM_0:0:607167295
324,STEAM_0:1:109507439
325,STEAM_0:0:83593229
326,STEAM_0:1:107978798
327,STEAM_0:0:464539665
328,STEAM_0:1:694388573
329,STEAM_0:0:429607580
330,STEAM_0:1:537133900
331,STEAM_0:0:545616235
332,STEAM_0:0:445451732
333,STEAM_0:0:625517627
334,STEAM_0:0:504595448
335,STEAM_0:0:175557743
336,STEAM_0:0:19942264
337,STEAM_0:1:739027506
338,STEAM_0:1:524339250
339,STEAM_0:0:556954512
340,STEAM_0:1:447997346
341,STEAM_0:0:442974739
342,STEAM_0:1:20848190
343,STEAM_0:0:190334005
344,STEAM_0:1:4535186
345,STEAM_0:0:554708210
346,STEAM_0:1:552258709
347,err_10347
348,STEAM_0:0:220209107
349,STEAM_0:0:556628249
350,STEAM_0:1:25998672
351,STEAM_0:1:473881271
352,STEAM_0:1:653779982
353,STEAM_0:1:180190045
354,STEAM_0:1:609728260
355,STEAM_0:1:496573472
356,STEAM_0:0:182967509
357,STEAM_0:0:425814423
358,STEAM_0:1:721578182
359,STEAM_0:0:721401814
360,STEAM_0:0:175997699
361,STEAM_0:1:605510398
362,STEAM_0:0:31781434
363,STEAM_0:0:622632762
364,STEAM_0:0:449439950
365,STEAM_0:1:224362896
366,STEAM_0:1:172890937
367,STEAM_0:1:711589392
368,STEAM_0:0:471002945
369,STEAM_0:1:165907965
370,STEAM_0:1:16174751
371,STEAM_0:1:18893044
372,STEAM_0:0:234561902
373,STEAM_0:0:179566444
374,STEAM_0:1:580711102
375,STEAM_0:1:723657513
376,STEAM_0:1:585460555
377,STEAM_0:1:757353877
378,STEAM_0:0:204921661
379,STEAM_0:1:519756178
380,STEAM_0:0:155907926
381,STEAM_0:0:585434655
382,STEAM_0:1:454746511
383,STEAM_0:0:757301919
384,STEAM_0:1:419362461
385,STEAM_0:1:119249525
386,STEAM_0:0:123666804
387,STEAM_0:1:1178575
388,STEAM_0:1:457010095
389,STEAM_0:0:87586074
390,STEAM_0:1:620302515
391,STEAM_0:0:530597991
392,STEAM_0:0:710442357
393,STEAM_0:0:757371619
394,STEAM_0:0:647882208
395,STEAM_0:0:580631824
396,STEAM_0:1:462634100
397,STEAM_0:0:238527340
398,STEAM_0:0:62112542
399,STEAM_0:0:651182371
400,STEAM_0:1:757491826
401,STEAM_0:1:573200284
402,STEAM_0:1:590744459
403,STEAM_0:1:48037369
404,STEAM_0:1:99289717
405,STEAM_0:0:161497388
406,STEAM_0:1:700381762
407,STEAM_0:0:20894031
408,STEAM_0:1:554205137
409,STEAM_0:1:657423650
410,STEAM_0:1:697978254
411,STEAM_0:1:720256549
412,STEAM_0:0:212494248
413,STEAM_0:1:612512458
414,STEAM_0:1:548622533
415,STEAM_0:0:106414
416,STEAM_0:0:674239748
417,STEAM_0:0:733335625
418,STEAM_0:0:732321997
419,STEAM_0:1:192411568
420,STEAM_0:1:158781207
421,err_10421
422,STEAM_0:1:609605010
423,STEAM_0:0:200240608
424,STEAM_0:0:162027069
425,STEAM_0:0:420874786
426,STEAM_0:1:95561558
427,STEAM_0:0:590149723
428,STEAM_0:0:80913323
429,STEAM_0:0:529171592
430,STEAM_0:0:711378547
431,STEAM_0:1:74710840
432,STEAM_0:0:712052170
433,STEAM_0:1:90131031
434,STEAM_0:0:604621373
435,STEAM_0:1:228447728
436,STEAM_0:0:555169122
437,STEAM_0:1:518001104
438,STEAM_0:1:526113528
439,STEAM_0:0:578880400
440,STEAM_0:1:757944505
441,STEAM_0:1:670066359
442,STEAM_0:1:242084777
443,STEAM_0:0:501171308
444,STEAM_0:0:586481848
445,STEAM_0:0:511619214
