,0
504,STEAM_0:1:126969156
505,STEAM_0:1:616978543
506,STEAM_0:1:500739055
507,STEAM_0:1:743139739
508,STEAM_0:0:85532326
509,STEAM_0:1:560941725
510,STEAM_0:1:186509857
511,STEAM_0:1:68960259
512,STEAM_0:0:50346397
513,STEAM_0:0:186316945
514,STEAM_0:1:674155899
515,STEAM_0:0:185348505
516,STEAM_0:1:505992402
517,err_20517
518,STEAM_0:1:229309649
519,STEAM_0:0:49714940
520,STEAM_0:1:513003023
521,STEAM_0:1:703539578
522,STEAM_0:1:598207331
523,STEAM_0:1:556882357
524,STEAM_0:0:840304262
525,STEAM_0:0:183174545
526,STEAM_0:0:99149427
527,STEAM_0:1:517154647
528,STEAM_0:0:805797774
529,STEAM_0:0:504301153
530,STEAM_0:1:647787662
531,STEAM_0:1:214951387
532,STEAM_0:0:542282823
533,STEAM_0:1:30463437
534,STEAM_0:0:29700269
535,STEAM_0:0:663905770
536,STEAM_0:1:863810809
537,STEAM_0:0:724661124
538,STEAM_0:1:18155860
539,STEAM_0:0:636446531
540,STEAM_0:0:221072350
541,STEAM_0:0:484851622
542,STEAM_0:1:571283093
543,STEAM_0:1:224240043
544,STEAM_0:1:508955385
545,STEAM_0:0:496718395
546,STEAM_0:0:188243703
547,STEAM_0:1:438874233
548,STEAM_0:0:453669578
549,STEAM_0:1:572130459
550,STEAM_0:0:709946741
551,STEAM_0:1:170719575
552,STEAM_0:1:783510839
553,STEAM_0:0:186288447
554,STEAM_0:0:218982518
555,STEAM_0:1:426905607
556,STEAM_0:0:49741966
557,STEAM_0:1:619176754
558,STEAM_0:0:741658613
559,STEAM_0:0:643210942
560,STEAM_0:0:428622341
561,STEAM_0:1:216702149
562,STEAM_0:0:639717674
563,STEAM_0:1:778400603
564,STEAM_0:1:569157577
565,STEAM_0:1:160855862
566,NaN_20566-time cost 3.989 s
567,STEAM_0:1:74756285
568,STEAM_0:0:581313383
569,STEAM_0:1:54105032
570,STEAM_0:0:422829857
571,STEAM_0:0:783260810
572,STEAM_0:0:650950478
573,STEAM_0:1:863702788
574,STEAM_0:1:69478047
575,STEAM_0:1:420773378
576,STEAM_0:1:151127188
577,STEAM_0:0:34593719
578,STEAM_0:0:199285081
579,STEAM_0:0:454414272
580,STEAM_0:0:590842149
581,STEAM_0:0:707607967
582,STEAM_0:1:164006395
583,STEAM_0:0:202799897
584,STEAM_0:1:720426537
585,STEAM_0:1:421929631
586,STEAM_0:0:102412126
587,STEAM_0:0:641966942
588,STEAM_0:1:214369954
589,STEAM_0:1:185155345
590,STEAM_0:0:763451331
591,STEAM_0:0:567580126
592,STEAM_0:1:438671520
593,STEAM_0:0:793842374
594,STEAM_0:1:203771871
595,STEAM_0:0:454426198
596,STEAM_0:1:417618793
597,STEAM_0:0:507617986
598,STEAM_0:0:70923639
599,STEAM_0:1:588622213
600,STEAM_0:1:117622520
601,STEAM_0:0:179349583
602,STEAM_0:0:498401964
