,0
290,STEAM_0:0:220150014
291,STEAM_0:0:135870850
292,STEAM_0:0:137958753
293,STEAM_0:0:495488921
294,STEAM_0:0:162113303
295,STEAM_0:0:183895944
296,STEAM_0:0:466937472
297,STEAM_0:1:229175137
298,STEAM_0:1:210965138
299,STEAM_0:1:531325969
300,STEAM_0:0:438633147
301,STEAM_0:0:144069428
302,STEAM_0:0:48769166
303,STEAM_0:0:213499428
304,STEAM_0:0:51552463
305,STEAM_0:1:427172025
306,STEAM_0:0:149993253
307,STEAM_0:1:153868987
308,STEAM_0:0:499720639
309,STEAM_0:0:469906302
310,STEAM_0:0:423731192
311,STEAM_0:1:121250515
312,STEAM_0:0:52304077
313,STEAM_0:0:530499183
314,STEAM_0:1:6005765
315,STEAM_0:0:448265041
316,STEAM_0:1:244399861
317,STEAM_0:1:123429501
318,STEAM_0:0:170603425
319,STEAM_0:1:223574350
320,STEAM_0:0:141867501
321,STEAM_0:0:95058164
322,STEAM_0:0:60021797
323,STEAM_0:1:59968414
324,STEAM_0:0:65078244
325,STEAM_0:0:230755132
326,STEAM_0:0:538056693
327,STEAM_0:0:178042797
328,STEAM_0:1:59810609
329,STEAM_0:1:86995836
330,STEAM_0:1:425817920
331,STEAM_0:1:219607148
332,STEAM_0:1:503975839
333,STEAM_0:1:204704821
334,STEAM_0:1:32281409
335,STEAM_0:1:121507729
336,STEAM_0:0:432626933
337,STEAM_0:0:26285802
338,STEAM_0:1:506508329
339,STEAM_0:0:69980523
340,STEAM_0:1:463020667
341,STEAM_0:0:200159958
342,STEAM_0:0:128054442
343,STEAM_0:0:159783336
344,STEAM_0:0:455840521
345,STEAM_0:0:225108443
346,STEAM_0:1:196992901
347,STEAM_0:1:512571848
348,STEAM_0:0:449776254
349,STEAM_0:1:111834509
350,STEAM_0:1:425930756
351,STEAM_0:0:38762811
352,NaN_230
353,STEAM_0:1:90827770
354,STEAM_0:1:817443
355,STEAM_0:1:70568310
356,STEAM_0:1:479745053
357,STEAM_0:1:47422990
358,STEAM_0:1:224354021
359,STEAM_0:0:86741864
360,STEAM_0:1:539818077
